
====================================================================================================
MacMahon Formula Verification System v2
Range: 2 to 200,000 | Count: 126 Formulas
====================================================================================================

Step 1: Preparing Formulas... Done.
        M3 Detected. Full calculation enabled.
Step 2: Initializing SPF Sieve... Done (0.12s)

|██████████████████████████████| 100.0% [ETA:   0s] Complete!          

===================================================================================================================
ID              | Status          | FP    | Detected Categories & Symbolic Proof
E4.18           | ✅ VALID         | 0     | [4] [SymPy: Verified p^{4}]
E4.19           | ✅ VALID         | 0     | [4] [SymPy: Verified p^{4}]
E4.20           | ✅ VALID         | 0     | [4] [SymPy: Verified p^{4}]
E4.21           | ✅ VALID         | 0     | [4] [SymPy: Verified p^{4}]
E5.1            | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.2            | ✅ VALID         | 0     | Universal (p^1..p^17) [SymPy: Verified p^{1, 2, 3}]
E5.3            | ✅ VALID         | 0     | [1, 5] [SymPy: Verified p^{1, 5}]
E5.4            | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.5            | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.6            | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.7            | ✅ VALID         | 0     | [1, 5] [SymPy: Verified p^{1, 5}]
E5.8            | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.9            | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.10           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.11           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.12           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.13           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.14           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.15           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.16           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.17           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.18           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.19           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.20           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.21           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.22           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.23           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.24           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.25           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
